file_name,signal_mean,signal_std,signal_skew,signal_kurtosis,zcr_mean,zcr_std,rmse_mean,rmse_std,tempo,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_2_mean,spectral_bandwidth_2_std,spectral_bandwidth_3_mean,spectral_bandwidth_3_std,spectral_bandwidth_4_mean,spectral_bandwidth_4_std,spectral_contrast_1_mean,spectral_contrast_2_mean,spectral_contrast_3_mean,spectral_contrast_4_mean,spectral_contrast_5_mean,spectral_contrast_6_mean,spectral_contrast_7_mean,spectral_contrast_1_std,spectral_contrast_2_std,spectral_contrast_3_std,spectral_contrast_4_std,spectral_contrast_5_std,spectral_contrast_6_std,spectral_contrast_7_std,spectral_rolloff_mean,spectral_rolloff_std,mfccs_1_mean,mfccs_2_mean,mfccs_3_mean,mfccs_4_mean,mfccs_5_mean,mfccs_6_mean,mfccs_7_mean,mfccs_8_mean,mfccs_9_mean,mfccs_10_mean,mfccs_11_mean,mfccs_12_mean,mfccs_13_mean,mfccs_14_mean,mfccs_15_mean,mfccs_16_mean,mfccs_17_mean,mfccs_18_mean,mfccs_19_mean,mfccs_20_mean,mfccs_1_std,mfccs_2_std,mfccs_3_std,mfccs_4_std,mfccs_5_std,mfccs_6_std,mfccs_7_std,mfccs_8_std,mfccs_9_std,mfccs_10_std,mfccs_11_std,mfccs_12_std,mfccs_13_std,mfccs_14_std,mfccs_15_std,mfccs_16_std,mfccs_17_std,mfccs_18_std,mfccs_19_std,mfccs_20_std,chroma_stft_1_mean,chroma_stft_2_mean,chroma_stft_3_mean,chroma_stft_4_mean,chroma_stft_5_mean,chroma_stft_6_mean,chroma_stft_7_mean,chroma_stft_8_mean,chroma_stft_9_mean,chroma_stft_10_mean,chroma_stft_11_mean,chroma_stft_12_mean,chroma_stft_1_std,chroma_stft_2_std,chroma_stft_3_std,chroma_stft_4_std,chroma_stft_5_std,chroma_stft_6_std,chroma_stft_7_std,chroma_stft_8_std,chroma_stft_9_std,chroma_stft_10_std,chroma_stft_11_std,chroma_stft_12_std
20103_Wedding_music.wav,0.013,0.018,2.569,4.986,0.044,0.039,0.016,0.009,123.047,515.23,655.757,603.636,514.418,1124.96,526.904,1124.96,526.904,20.675,18.52,26.078,25.387,27.352,15.618,29.72,4.296,4.845,4.409,4.275,4.783,2.704,4.105,897.681,1270.131,-501.357,177.717,67.346,8.309,-1.49,-0.817,-6.966,-11.571,-11.817,-6.773,-3.138,-1.079,-2.728,-1.457,-1.616,-2.997,-7.652,-10.057,-7.745,-1.233,73.949,38.632,25.125,19.099,10.694,9.847,8.719,9.896,7.721,6.478,7.748,8.232,6.113,10.013,11.74,7.944,5.764,8.363,7.699,6.225,0.45,0.23,0.36,0.183,0.238,0.171,0.146,0.209,0.178,0.225,0.14,0.326,0.394,0.18,0.409,0.181,0.326,0.259,0.139,0.264,0.231,0.305,0.153,0.334
7119_Wedding_music.wav,0.136,0.175,1.222,0.482,0.054,0.012,0.169,0.047,129.199,1028.94,208.694,1265.05,268.672,1843.028,342.572,1843.028,342.572,22.405,16.306,21.469,20.707,20.503,22.153,34.705,5.248,3.304,3.711,2.692,3.195,2.948,4.891,1954.313,506.689,-138.539,184.278,-33.816,30.472,-0.284,3.875,-1.255,-0.442,-6.282,-5.807,-0.754,-5.293,-5.845,-0.755,-8.979,-3.291,0.466,-0.419,-3.286,2.172,41.239,22.643,16.563,12.726,9.107,7.346,6.653,5.884,8.576,7.47,7.079,7.568,7.272,7.191,5.806,7.359,6.509,7.802,6.834,5.218,0.423,0.251,0.353,0.186,0.319,0.323,0.248,0.484,0.228,0.267,0.226,0.264,0.381,0.145,0.321,0.111,0.283,0.325,0.183,0.393,0.156,0.308,0.278,0.21
8732_Dance_music.wav,0.192,0.25,1.134,0.397,0.074,0.046,0.235,0.086,129.199,1729.77,505.282,2003.689,472.219,2628.072,469.928,2628.072,469.928,21.087,13.892,17.661,16.841,18.822,19.23,36.536,5.657,5.382,6.571,4.78,4.608,4.252,5.81,3435.789,1411.792,-109.2,102.472,-26.752,16.504,-2.163,6.968,-3.31,8.317,-0.487,8.985,-4.655,8.037,1.96,2.603,-0.418,2.468,0.972,6.193,5.235,10.547,68.61,25.336,38.2,19.942,20.74,21.24,16.898,10.336,9.959,9.569,11.579,9.219,9.496,10.152,8.176,11.592,9.957,9.695,10.958,12.677,0.564,0.528,0.373,0.32,0.32,0.335,0.314,0.353,0.356,0.378,0.381,0.477,0.402,0.362,0.296,0.267,0.268,0.297,0.279,0.317,0.317,0.341,0.317,0.38
18828_Video_game_music.wav,0.135,0.174,1.33,0.672,0.133,0.028,0.172,0.025,92.285,2605.919,249.853,2581.897,150.655,3025.02,141.464,3025.02,141.464,19.716,14.191,16.704,19.649,17.598,17.641,32.077,4.553,3.967,3.482,4.131,2.863,2.075,1.663,5434.15,530.525,-27.26,78.982,1.081,40.236,-11.315,11.119,9.751,9.904,-1.538,-1.196,-6.547,0.704,-6.596,5.325,0.364,4.543,-1.945,-0.353,-8.622,0.158,18.2,8.689,6.956,6.854,6.029,5.418,7.311,4.92,6.831,5.381,4.903,6.832,6.385,5.639,4.643,3.965,4.102,5.306,5.616,4.067,0.334,0.349,0.497,0.536,0.434,0.333,0.33,0.371,0.328,0.504,0.735,0.608,0.199,0.212,0.277,0.289,0.239,0.197,0.192,0.206,0.18,0.272,0.257,0.296
1850_Video_game_music.wav,0.088,0.141,1.47,2.203,0.045,0.035,0.109,0.09,135.999,874.351,656.904,1123.734,787.52,1539.075,1054.007,1539.075,1054.007,21.542,20.216,24.423,24.286,25.366,28.784,42.095,4.437,4.403,5.51,5.547,5.626,8.521,16.357,1748.638,1340.711,-318.118,90.031,1.295,23.07,-3.88,7.374,-8.496,-0.149,-7.288,-0.975,-4.243,5.098,1.345,2.703,-0.57,4.408,1.361,3.636,5.663,5.716,190.267,64.613,10.632,20.946,6.557,7.15,9.954,8.264,8.791,11.265,8.203,8.359,13.405,11.413,5.856,9.942,6.114,6.066,8.17,10.185,0.157,0.428,0.12,0.044,0.038,0.079,0.263,0.151,0.241,0.115,0.06,0.098,0.173,0.456,0.149,0.093,0.083,0.124,0.421,0.201,0.299,0.185,0.115,0.192
4574_Soundtrack_music.wav,0.096,0.109,1.099,0.892,0.041,0.012,0.118,0.021,112.347,1124.161,269.354,1619.068,233.49,2109.926,207.204,2109.926,207.204,15.976,14.563,17.127,18.622,20.484,24.941,54.495,3.874,3.612,4.276,3.762,3.657,4.878,3.813,2675.96,800.828,-172.648,153.067,-20.509,63.029,-16.742,33.55,-9.04,19.673,-0.853,12.809,4.021,2.201,1.576,-5.419,3.943,-2.623,6.166,-3.202,4.314,-6.663,26.799,15.002,11.283,8.046,10.189,7.608,10.211,7.015,7.701,5.754,7.663,6.402,7.551,6.224,6.74,7.971,7.286,7.592,6.737,7.783,0.359,0.389,0.487,0.529,0.462,0.351,0.335,0.333,0.461,0.55,0.57,0.495,0.231,0.263,0.26,0.27,0.277,0.233,0.262,0.203,0.298,0.288,0.293,0.293
486_Dance_music.wav,0.091,0.122,1.666,1.599,0.153,0.043,0.118,0.029,99.384,2511.676,379.063,2141.542,222.052,2616.826,203.197,2616.826,203.197,18.259,14.735,16.485,16.036,16.764,18.803,34.256,4.22,3.725,3.71,3.026,2.566,2.975,2.537,4537.812,713.002,-59.772,80.309,-37.891,44.391,-0.4,9.173,3.15,11.267,-6.554,4.313,-4.255,4.587,-3.031,-0.92,-5.92,-3.528,-3.474,3.22,-6.184,0.95,47.097,15.479,15.78,8.439,6.881,8.426,6.531,5.867,8.885,6.974,5.981,5.878,5.742,4.917,4.43,6.305,5.391,5.671,5.532,5.089,0.622,0.468,0.381,0.438,0.665,0.515,0.473,0.477,0.424,0.54,0.368,0.416,0.307,0.221,0.278,0.244,0.254,0.227,0.243,0.227,0.215,0.274,0.188,0.199
18111_Christmas_music.wav,0.096,0.161,2.039,4.546,0.082,0.062,0.128,0.097,143.555,1593.27,1012.624,1688.366,714.391,2288.505,753.255,2288.505,753.255,18.607,14.699,18.352,20.558,21.862,18.729,32.567,9.962,7.207,7.54,7.735,8.603,7.024,7.354,3021.552,1930.254,-244.831,69.969,-25.057,4.119,-5.086,9.154,-5.515,-4.843,-5.381,-5.261,-4.135,4.687,5.445,4.823,-2.66,0.54,-0.622,-0.359,-10.162,-3.815,187.229,53.76,34.329,24.845,22.183,15.306,17.381,18.166,15.362,14.644,16.531,12.22,14.108,9.486,13.92,16.221,9.909,11.562,15.618,8.277,0.303,0.379,0.375,0.48,0.601,0.406,0.315,0.236,0.307,0.354,0.405,0.446,0.303,0.36,0.335,0.332,0.378,0.318,0.284,0.282,0.304,0.341,0.338,0.327
10188_Lullaby.wav,0.014,0.028,2.568,7.764,0.07,0.081,0.017,0.022,107.666,1587.339,1538.697,1931.677,1339.67,2471.301,1407.878,2471.301,1407.878,19.361,23.027,24.652,28.023,24.51,29.123,30.703,5.549,6.128,5.704,7.925,7.626,10.825,3.931,3803.296,3700.346,-474.909,30.696,6.764,1.102,-6.183,-22.197,7.442,-7.639,2.364,2.119,-19.051,4.295,-6.255,6.957,2.218,-2.191,-4.054,-0.202,9.364,18.208,145.732,26.744,14.299,17.809,12.145,25.434,11.417,12.792,8.654,9.766,18.535,8.891,12.689,16.182,10.58,6.331,8.895,12.487,13.046,16.432,0.211,0.102,0.139,0.348,0.47,0.221,0.219,0.095,0.062,0.07,0.141,0.274,0.34,0.222,0.265,0.354,0.465,0.241,0.35,0.202,0.179,0.197,0.22,0.329
9862_Theme_music.wav,0.093,0.117,1.03,0.055,0.136,0.032,0.116,0.014,117.454,2756.787,367.869,2616.831,210.155,3053.833,185.193,3053.833,185.193,20.014,14.554,17.459,18.459,21.719,20.646,53.327,4.727,3.607,4.158,3.914,5.096,3.206,5.323,5665.694,765.8,-74.549,62.791,-5.122,44.916,4.598,19.975,13.254,11.03,-3.266,6.47,2.478,4.027,-10.439,-0.629,-3.365,1.657,-5.61,-1.159,-1.795,1.464,19.149,15.023,11.728,7.948,7.978,6.012,7.606,8.103,7.1,5.78,7.224,6.4,7.044,6.202,6.063,6.288,7.677,7.219,6.774,7.515,0.427,0.397,0.427,0.482,0.646,0.467,0.43,0.511,0.572,0.567,0.455,0.423,0.276,0.252,0.234,0.245,0.298,0.242,0.24,0.245,0.269,0.293,0.226,0.236
6713_Wedding_music.wav,0.132,0.165,0.962,-0.054,0.117,0.037,0.163,0.022,123.047,1524.907,220.716,1328.963,96.908,1793.033,192.514,1793.033,192.514,22.301,17.061,25.752,27.153,27.031,23.634,45.072,4.934,4.053,4.049,2.623,2.69,3.803,3.331,2626.728,251.345,-140.242,151.127,-60.52,29.044,-15.834,-25.354,-12.928,9.436,-36.198,-9.68,-5.678,-0.116,-24.544,-0.663,0.979,-1.539,-6.094,-3.542,-12.06,-10.39,14.887,11.896,18.85,11.228,7.079,11.912,10.106,8.503,12.684,8.428,8.46,7.872,6.898,6.993,6.012,7.036,5.516,6.2,5.801,5.502,0.488,0.126,0.21,0.202,0.409,0.179,0.166,0.368,0.099,0.099,0.169,0.614,0.388,0.098,0.208,0.14,0.348,0.153,0.101,0.301,0.078,0.172,0.118,0.358
24798_Jingle.wav,0.127,0.182,1.82,2.415,0.102,0.036,0.16,0.088,143.555,1975.69,559.04,1971.635,434.73,2582.391,381.919,2582.391,381.919,23.274,15.744,19.082,19.047,18.195,17.553,32.746,5.713,3.856,3.91,3.546,2.911,2.216,2.826,3677.478,1349.411,-89.354,109.529,-40.808,4.207,-5.489,-2.207,-9.769,4.727,-10.076,-3.101,-3.353,-0.823,-10.809,-4.792,-5.323,-2.765,-6.306,3.543,-9.333,-2.922,75.488,33.622,22.042,19.786,13.336,10.099,14.3,11.401,8.933,8.88,8.144,8.163,9.004,8.979,7.365,7.403,7.892,7.806,8.363,7.49,0.25,0.414,0.399,0.308,0.489,0.35,0.346,0.257,0.405,0.425,0.259,0.289,0.188,0.333,0.285,0.225,0.346,0.243,0.332,0.218,0.347,0.306,0.218,0.267
28370_Dance_music.wav,0.089,0.151,3.497,10.355,0.154,0.075,0.126,0.082,92.285,2386.822,1068.086,2120.112,684.414,2623.169,600.765,2623.169,600.765,17.712,13.549,16.937,17.712,19.702,18.968,32.642,4.7,3.912,3.699,3.486,3.505,4.206,3.62,4604.55,2156.743,-108.221,101.068,-32.088,15.271,2.682,6.787,-7.884,5.679,-5.204,0.482,-0.317,5.682,-0.501,3.551,0.858,2.882,-6.676,-0.487,-0.678,-0.863,70.409,57.267,36.95,15.466,14.455,10.891,10.433,9.293,8.269,9.907,6.56,7.308,7.93,5.615,6.595,6.112,8.327,7.526,7.237,6.141,0.473,0.517,0.599,0.417,0.43,0.369,0.526,0.406,0.434,0.399,0.399,0.437,0.27,0.268,0.331,0.22,0.277,0.272,0.365,0.263,0.295,0.288,0.211,0.245
27581_Theme_music.wav,0.169,0.212,0.941,-0.075,0.039,0.008,0.208,0.037,107.666,1047.344,202.801,1555.849,212.855,2223,209.871,2223,209.871,18.183,15.667,19.549,18.171,18.372,20.641,38.333,4.575,3.68,3.888,3.078,2.611,3.099,5.34,2157.597,580.354,-107.028,157.133,-11.432,36.07,5.254,11.195,-1.594,11.152,-1.376,9.38,0.935,8.419,1.185,3.658,-0.668,5.591,0.255,4.596,-1.216,7.1,31.943,16.515,11.075,6.213,5.952,5.927,4.701,4.774,4.562,4.568,4.933,4.69,4.853,5.758,5.066,4.762,4.325,4.163,4.229,5.496,0.362,0.628,0.371,0.426,0.272,0.256,0.459,0.325,0.509,0.295,0.234,0.334,0.172,0.323,0.196,0.3,0.184,0.136,0.335,0.167,0.352,0.227,0.152,0.301
23302_Lullaby.wav,0.038,0.051,1.756,1.9,0.041,0.017,0.047,0.021,99.384,677.186,150.253,1053.564,170.735,1622.158,172.523,1622.158,172.523,22.963,19.202,23.23,23.44,25.841,31.598,40.091,4.301,3.345,3.686,3.629,3.662,5.911,5.116,1311.536,627.444,-357.709,191.427,6.313,59.517,9.839,-24.958,8.689,4.327,-1.269,1.581,-3.587,6.612,-6.646,-8.148,9.014,-5.876,-8.761,5.074,-4.852,-5.579,57.712,11.302,17.175,18.233,9.032,13.301,10.671,6.409,6.248,7.491,9.039,6.706,11.109,10.03,7.505,5.976,6.412,7.607,5.852,7.199,0.457,0.229,0.295,0.7,0.217,0.197,0.197,0.145,0.226,0.205,0.449,0.493,0.323,0.207,0.141,0.334,0.121,0.255,0.234,0.135,0.282,0.149,0.326,0.276
17172_Video_game_music.wav,0.181,0.228,1.008,0.039,0.109,0.036,0.223,0.048,112.347,2340.549,371.454,2421.615,192.896,2933.435,158.263,2933.435,158.263,20.501,15.22,19.166,23.835,22.179,18.209,32.681,4.224,3.709,3.747,3.159,2.667,2.061,2.632,5011.99,665.687,-11.604,90.914,-10.521,23.085,-10.304,13.311,-2.68,5.365,-2.931,-2.438,-5.185,6.096,-0.825,0.11,-8.182,-3.981,-7.228,-0.841,-6.303,-2.935,19.736,16.067,9.021,8.83,6.425,6.167,6.255,5.29,5.366,5.196,5.624,5.781,6.355,6.201,5,5.643,5.289,5.581,5.862,5.177,0.227,0.37,0.606,0.307,0.286,0.316,0.556,0.392,0.317,0.279,0.193,0.37,0.189,0.253,0.34,0.152,0.274,0.243,0.361,0.281,0.247,0.182,0.125,0.284
27249_Soundtrack_music.wav,0.077,0.096,0.826,-0.28,0.08,0.016,0.095,0.012,107.666,1208.508,101.92,1048.668,57.275,1305.396,63.129,1305.396,63.129,14.31,16.198,21.36,21.371,22.152,46.592,32.242,3.662,3.226,3.756,2.662,2.423,2.673,2.254,2290.899,215.099,-196.319,200.895,-85.68,34.629,-11.502,-21.059,11.992,-25.281,2.795,-7.268,-12.79,3.717,-14.027,0.301,-1.753,-4.306,6.341,-7.935,-2.982,-3.79,13.411,6.919,7.86,6.845,6.537,5.644,5.349,5.753,6.578,6.545,8.066,8.475,6.449,5.833,7.531,8.452,8.953,6.446,5.983,7.203,0.278,0.132,0.228,0.106,0.255,0.346,0.094,0.116,0.167,0.603,0.367,0.157,0.286,0.108,0.352,0.102,0.257,0.31,0.072,0.201,0.106,0.396,0.315,0.133
7114_Christmas_music.wav,0.219,0.296,1.554,1.331,0.081,0.034,0.278,0.101,135.999,2298.998,641.487,2664.707,332.774,3216.093,228.335,3216.093,228.335,18.144,18.085,21.587,19.814,20.103,18.323,34.085,5.2,4.978,4.972,4.434,5.795,5.08,3.881,5383.899,1408.838,-42.33,90.442,19.768,17.82,-0.844,17.066,-3.228,4.454,-3.211,4.274,-1.877,0.309,-4.839,6.192,-1.269,2.893,-0.406,-2.304,-6.215,3.754,55.977,25.39,13.798,15.775,9.507,9.956,7.289,7.428,6.513,9.334,7.549,8.531,7.309,7.148,7.594,7.595,7.163,8.048,9.785,9.72,0.194,0.31,0.363,0.242,0.244,0.174,0.206,0.236,0.336,0.573,0.308,0.29,0.214,0.316,0.326,0.24,0.272,0.197,0.239,0.271,0.264,0.403,0.269,0.329
